Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,svd,29115,0.002,5,5,1.0,0.9935012558772343,10.008000942002038,0.0,0.0,,0.0
5,svd,30631,0.027,5,5,1.0,0.9818591958247704,13.531086967542706,0.0,0.0,,0.0
1,ii,10055,0.466,5,5,1.0,0.9947369905855882,12.373212623289701,0.0,0.0,,0.0
5,svd,31362,0.002,5,5,1.0,0.9977682359878776,15.4964252465794,0.0,0.0,,0.0
5,svd,31476,0.002,5,5,1.0,0.9800672230615031,13.9964252465794,0.1357070729794555,0.2,5,0.2
5,svd,32780,0.002,5,5,1.0,0.9945760557564168,12.004142376861159,0.0,0.0,,0.0
5,svd,32785,0.002,5,5,1.0,0.9848313306122628,16.23134016304077,0.0,0.0,,0.0
5,svd,34156,0.006,5,5,1.0,0.9839351134072948,15.31189012336513,0.0,0.0,,0.0
5,svd,34239,0.002,5,5,1.0,0.9543017770000733,15.662016721114163,0.0,0.0,,0.0
5,svd,34664,0.004,5,5,1.0,1.0,12.739057293322526,0.0,0.0,,0.0
5,svd,35259,0.002,5,5,1.0,0.9604396912964233,12.138930695573494,0.0,0.0,,0.0
5,svd,36229,0.002,5,5,1.0,0.9796169680724995,13.680960369793672,0.0,0.0,,0.0
5,svd,36624,0.002,5,5,1.0,0.9830864942105431,14.531086967542706,0.0,0.0,,0.0
5,svd,37091,0.002,5,5,1.0,0.9735305166829865,15.427101804652795,0.28397345013644554,0.5,2,0.5
5,svd,38159,0.002,5,5,1.0,1.0,12.465622090756977,0.0,0.0,,0.0
5,svd,39061,0.002,5,5,1.0,0.9707175116335607,9.95762114875494,0.0,0.0,,0.0
5,svd,39250,0.002,5,5,1.0,0.9827176461246183,14.215622090756977,0.0,0.0,,0.0
